time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-09T16:51:20.392Z,-55.1488,-28.8255,35.306,4.8,mb,28,103,4.527,0.39,us,us6000i9fk,2022-08-09T17:09:28.040Z,"South Sandwich Islands region",earthquake,12.18,8.372,0.114,27,reviewed,us,us
2022-08-09T15:48:16.638Z,39.903,141.6664,74.468,4.6,mb,40,122,0.998,0.77,us,us6000i9f4,2022-08-09T16:25:37.040Z,"36 km NW of Miyako, Japan",earthquake,6.17,6.798,0.119,24,reviewed,us,us
2022-08-09T12:59:41.726Z,-6.7514,130.0087,160.417,5.6,mww,96,30,1.77,0.48,us,us6000i9cd,2022-08-10T13:03:18.835Z,"Banda Sea",earthquake,6.97,5.05,0.051,37,reviewed,us,us
2022-08-09T11:04:23.643Z,-44.51,-80.3847,10,4.8,mb,41,102,6.093,0.33,us,us6000i9bu,2022-08-09T11:24:26.040Z,"Off the coast of Aisen, Chile",earthquake,10.06,1.898,0.105,28,reviewed,us,us
2022-08-09T10:37:42.061Z,-44.624,-80.0683,10,5.7,mww,45,67,5.84,1.29,us,us6000i9br,2022-08-10T17:40:25.040Z,"Off the coast of Aisen, Chile",earthquake,9.35,1.877,0.062,25,reviewed,us,us
2022-08-09T06:36:08.160Z,-8.3291,117.0957,10,4.6,mb,28,50,0.836,0.46,us,us6000i9ap,2022-08-09T07:19:15.315Z,"40 km WNW of Sumbawa Besar, Indonesia",earthquake,4.51,1.792,0.129,18,reviewed,us,us
2022-08-09T04:41:10.252Z,-2.0197,100.2357,35,4.7,mb,38,114,2.465,0.6,us,us6000i9a8,2022-08-15T03:02:22.040Z,"119 km S of Padang, Indonesia",earthquake,6.93,1.929,0.112,24,reviewed,us,us
2022-08-09T04:16:03.743Z,-25.0935,-179.9086,522.896,4.8,mb,20,145,4.514,0.52,us,us6000i99v,2022-08-15T02:59:20.040Z,"south of the Fiji Islands",earthquake,14.15,10.304,0.111,25,reviewed,us,us
2022-08-09T02:52:43.424Z,10.34,122.0537,10,4.7,mb,40,105,4.765,0.63,us,us6000i99c,2022-08-15T02:53:15.040Z,"12 km SE of Magdalena, Philippines",earthquake,11.55,1.884,0.07,61,reviewed,us,us
2022-08-08T23:15:04.657Z,-6.5896,104.1854,35,4.8,mb,45,88,2.53,1.14,us,us6000i97s,2022-08-08T23:32:16.040Z,"175 km SW of Bandar Lampung, Indonesia",earthquake,6.38,1.658,0.103,29,reviewed,us,us
2022-08-08T20:57:51.425Z,-14.3351,-72.3412,71.827,4.7,mb,29,144,4.673,0.77,us,us6000i96q,2022-08-08T21:25:10.040Z,"21 km W of Quiñota, Peru",earthquake,11.28,10.159,0.074,64,reviewed,us,us
2022-08-08T20:44:14.110Z,38.5816667,-119.446,5.4,4.45,mw,26,54,0.05805,0.11,nc,nc73765585,2022-08-14T07:29:36.992Z,"8km NNE of Walker, CA",earthquake,0.23,0.55,,4,reviewed,nc,nc
2022-08-08T18:05:34.668Z,-20.3707,-174.3442,35,5.2,mb,63,65,6.877,1.23,us,us6000i953,2022-08-08T20:37:34.040Z,"61 km S of Pangai, Tonga",earthquake,11.74,1.117,0.04,206,reviewed,us,us
2022-08-08T14:45:22.744Z,38.1476,22.0537,66.315,4.5,mb,33,48,0.9,0.35,us,us6000i932,2022-08-08T15:04:42.040Z,"11 km SSW of Aígio, Greece",earthquake,4.42,7.925,0.172,11,reviewed,us,us
2022-08-08T13:42:52.253Z,-19.6811,170.0453,10,5.1,mww,30,91,3.794,0.51,us,us6000i92k,2022-08-08T16:27:25.040Z,"81 km E of Isangel, Vanuatu",earthquake,7.53,1.887,0.08,15,reviewed,us,us
2022-08-08T11:34:29.633Z,16.1624,-94.9676,64.486,4.6,mb,80,145,2.722,0.62,us,us6000i91y,2022-08-11T02:54:10.125Z,"5 km SSE of San Mateo del Mar, Mexico",earthquake,6.66,7.891,0.036,226,reviewed,us,us
2022-08-08T10:18:41.355Z,-6.277,130.1559,148.205,4.5,mb,26,114,2.039,0.73,us,us6000i91l,2022-08-08T13:43:06.040Z,"296 km WSW of Tual, Indonesia",earthquake,8.08,7.964,0.14,15,reviewed,us,us
2022-08-08T09:19:15.542Z,-18.7759,-69.5139,120.613,4.6,mb,48,80,0.439,1.21,us,us6000i916,2022-08-08T09:53:50.040Z,"89 km ESE of Arica, Chile",earthquake,5.2,5.949,0.05,122,reviewed,us,us
2022-08-08T08:55:07.891Z,-12.2442,122.8149,10,4.5,mb,34,69,2.855,0.53,us,us6000i90z,2022-08-09T13:13:00.119Z,"245 km SSW of Kupang, Indonesia",earthquake,6.23,1.878,0.121,21,reviewed,us,us
2022-08-08T07:38:56.501Z,48.9776,-128.7103,10,4.6,mb,90,146,1.706,0.6,us,us6000i90r,2022-08-08T08:06:07.040Z,"205 km W of Tofino, Canada",earthquake,8.32,1.933,0.033,280,reviewed,us,us
2022-08-08T07:18:28.085Z,-59.3288,-25.8186,36.747,5,mb,51,177,7.732,0.65,us,us6000i90n,2022-08-08T07:38:43.040Z,"South Sandwich Islands region",earthquake,14.12,8.628,0.071,64,reviewed,us,us
2022-08-08T05:37:17.319Z,-5.5246,151.6305,35,5.6,mww,86,52,1.427,0.68,us,us6000i904,2022-08-09T05:40:38.113Z,"148 km SSW of Kokopo, Papua New Guinea",earthquake,7.51,1.885,0.066,22,reviewed,us,us
2022-08-08T03:44:55.305Z,-32.6749,-71.9293,21.171,4.7,mwr,88,69,0.42,0.82,us,us6000i8zd,2022-08-08T18:51:10.096Z,"48 km NW of Valparaíso, Chile",earthquake,2.49,4.55,0.04,59,reviewed,us,us
2022-08-07T23:02:11.478Z,-5.7319,146.4504,44.484,4.8,mb,68,61,5.894,0.62,us,us6000i8yn,2022-08-07T23:34:59.040Z,"89 km NE of Kainantu, Papua New Guinea",earthquake,4.22,6.228,0.064,76,reviewed,us,us
2022-08-07T22:57:13.988Z,32.8797,142.5385,10,4.8,mb,42,104,2.302,0.5,us,us6000i8yl,2022-08-15T02:40:24.040Z,"Izu Islands, Japan region",earthquake,9.67,1.886,0.062,80,reviewed,us,us
2022-08-07T16:20:20.848Z,-7.3527,-75.7789,10.427,4.6,mb,66,118,3.071,0.35,us,us6000i8x1,2022-08-07T17:12:43.040Z,"77 km SE of Picota, Peru",earthquake,8.09,4.431,0.059,87,reviewed,us,us
2022-08-07T15:45:15.144Z,-21.0167,-11.6437,10,4.8,mb,45,66,7.524,0.68,us,us6000i8wy,2022-08-07T16:24:01.040Z,"southern Mid-Atlantic Ridge",earthquake,11.55,1.859,0.094,37,reviewed,us,us
2022-08-07T15:44:30.524Z,10.2714,93.8331,10.138,4.6,mb,34,93,1.743,0.49,us,us6000i8wu,2022-08-07T16:45:25.040Z,"194 km SE of Port Blair, India",earthquake,7.92,3.593,0.122,23,reviewed,us,us
2022-08-07T14:01:46.900Z,53.4856,-165.7132,42.746,4.6,mb,98,163,0.593,0.48,us,us6000i8wb,2022-08-13T14:48:34.081Z,"69 km SE of Unalaska, Alaska",earthquake,4.62,5.13,0.054,108,reviewed,us,us
2022-08-07T13:42:14.020Z,-18.0043,-178.4375,598.753,4.8,mb,70,114,3.352,0.49,us,us6000i8w1,2022-08-07T14:31:59.040Z,"237 km E of Levuka, Fiji",earthquake,12.37,7.613,0.072,63,reviewed,us,us
2022-08-07T13:40:40.000Z,43.7545,148.104,35,5.9,mww,139,42,6.003,0.56,us,us6000i8vz,2022-08-08T19:40:18.040Z,"111 km E of Shikotan, Russia",earthquake,8.62,1.847,0.061,26,reviewed,us,us
2022-08-07T12:52:36.210Z,32.5453,142.541,10,4.6,mb,56,136,2.365,0.56,us,us6000i8vs,2022-08-07T13:16:41.040Z,"Izu Islands, Japan region",earthquake,10.07,1.841,0.047,134,reviewed,us,us
2022-08-07T12:04:23.564Z,-57.7969,-25.8245,76.205,4.8,mb,44,45,16.838,0.39,us,us6000i8vm,2022-08-07T12:26:33.040Z,"South Sandwich Islands region",earthquake,9.15,6.767,0.088,40,reviewed,us,us
2022-08-07T11:17:09.350Z,13.5852,120.7783,132.738,4.5,mb,71,71,9.187,0.49,us,us6000i8vg,2022-08-07T11:48:39.040Z,"12 km NNW of Odala, Philippines",earthquake,10.51,6.727,0.069,61,reviewed,us,us
2022-08-07T03:53:23.271Z,-5.4284,146.9118,228.839,5.1,mb,86,33,5.376,0.97,us,us6000i8tb,2022-08-08T03:56:25.439Z,"126 km E of Madang, Papua New Guinea",earthquake,9.37,5.123,0.036,253,reviewed,us,us
2022-08-07T02:41:15.193Z,-19.3326,-69.2129,104.566,5,mb,65,81,0.335,1.09,us,us6000i8su,2022-08-07T05:13:57.706Z,"138 km NE of Iquique, Chile",earthquake,5.36,4.352,0.028,413,reviewed,us,us
2022-08-07T02:28:25.089Z,-4.3868,102.1222,51.953,4.9,mb,49,102,0.831,0.72,us,us6000i8st,2022-08-07T02:44:24.040Z,"66 km SSW of Bengkulu, Indonesia",earthquake,6.66,7.128,0.101,32,reviewed,us,us
